

A÷B
1,大阪府,2.059％
2,愛知県,1.968％
3,福岡県,1.697％
4,京都府,1.690％
5,兵庫県,1.623％
6,埼玉県,1.579％
7,東京都,1.563％
8,千葉県,1.551％
9,茨城県,1.431％
10,和歌山県,1.393％
11,三重県,1.377％
12,岐阜県,1.342％
13,岡山県,1.329％
14,栃木県,1.294％
15,高知県,1.276％
16,群馬県,1.201％
17,愛媛県,1.175％
18,奈良県,1.105％
19,宮城県,1.101％
20,香川県,1.093％
21,静岡県,1.091％
22,神奈川県,1.085％
23,滋賀県,1.082％
24,広島県,1.009％
25,鳥取県,0.993％
26,沖縄県,0.986％
27,佐賀県,0.973％
28,福島県,0.962％
29,北海道,0.946％
30,山梨県,0.942％
31,徳島県,0.941％
32,長野県,0.937％
33,熊本県,0.936％
34,新潟県,0.934％
35,山口県,0.897％
36,宮崎県,0.846％
37,富山県,0.799％
38,大分県,0.794％
39,福井県,0.790％
40,石川県,0.753％
41,鹿児島県,0.752％
42,青森県,0.726％
43,島根県,0.719％
44,山形県,0.685％
45,長崎県,0.645％
46,岩手県,0.619％
47,秋田県,0.529％
